name,category,code,image_url,brand,inventory,market_price,price,maker,country_of_origin,delivery_method,delivery_fee,sub_category,condition,option,option_price,description
[곡성농협] 맑은햇쌀(2012 햅쌀),183,16-09-02,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-09-02.jpg,곡성농협,999,56500,53900,곡성농협,한국,101,0,2,100,,,15kg(5kg+10kg)
[곡성농협] 맑은햇쌀(2012 햅쌀),183,16-09-03,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//16-09-03.jpg,곡성농협,999,69000,66700,곡성농협,한국,101,0,2,100,,,20kg
교동한과덩더쿵,259,17-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//17-01.jpg,교동한과,999,58000,54500,교동한과,한국외,101,0,1,100,,,"유과, 강정, 약과"
교동한과오죽헌,259,17-01-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//17-01-01.jpg,교동한과,999,93000,87800,교동한과,한국외,101,0,1,100,,,"유과, 강정, 한들곡식, 정과, 다식, 약과"
예원한과2단지함,259,17-02,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//17-02.jpg,예원화과,999,34000,30000,예원화과,한국외,101,0,1,100,,,"강정, 유과, 다식, 매작과, 약과, 각종 당절임"
예원한과4단지함,259,17-02-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//17-02-01.jpg,예원화과,999,57000,51400,예원화과,한국외,101,0,1,100,,,"강정, 유과,다식, 매작과, 약과, 각종 당절임"
[신궁전통한과]명품한과예작(3단),259,17-03,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//17-03.jpg,㈜신궁전통한과,999,58000,53900,㈜신궁전통한과,한국외,101,0,1,100,,,"약과, 유과, 강정, 정과, 다식, 타래과"
[신궁전통한과]명품한과예과(3단),259,17-03-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//17-03-01.jpg,㈜신궁전통한과,999,50000,46200,㈜신궁전통한과,한국외,101,0,1,100,,,"약과, 유과, 강정, 정과"
[신궁전통한과]명품한과예담(2단),259,17-03-02,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//17-03-02.jpg,㈜신궁전통한과,999,34000,30900,㈜신궁전통한과,한국외,101,0,1,100,,,"약과, 유과, 강정"
[해올림한과]다정,259,17-04,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//17-04.jpg,해올림,999,45000,38900,해올림,한국외,101,0,1,100,,,"유과, 약과, 강정, 다식, 타래과"
[해올림한과]해나루,259,17-05,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//17-05.jpg,해올림,999,75000,67800,해올림,한국외,101,0,1,100,,,"유과, 약과, 강정, 다식, 타래과"
[미나미]화과자세트2호B,259,17-06,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//17-06.jpg,㈜미나미,999,31000,29500,㈜미나미,한국외,101,0,1,100,,,"화과자 10구, 만주 10구"
[미나미]화과자세트5호,259,17-06-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//17-06-01.jpg,㈜미나미,999,39000,36700,㈜미나미,한국외,101,0,1,100,,,화과자 20구
수예당 특선세트,259,17-07,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//17-07.jpg,수예당화과자,999,45500,42800,수예당화과자,한국외,101,0,1,100,,,"총 20입(화과자 10입, 특선만주 5입, 과일만주 5입)"
수예당 행복세트,259,17-07-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//17-07-01.jpg,수예당화과자,999,55000,52300,수예당화과자,한국외,101,0,1,100,,,"총 30입(화과자, 만주, 양갱)"
수예당 특선종합세트,259,17-08,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//17-08.jpg,수예당화과자,999,73000,68900,수예당화과자,한국외,101,0,1,100,,,"2단 총 40입(화과자, 만주, 양갱, 플레르쁘띠, 모짜르트케잌)"
RexLon 와이드 전기그릴팬(4종)RL-1900,283,18-01,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//18-01.jpg,뉴비코,999,85000,70000,뉴비코,한국,101,0,1,100,,,"본체, 기름종지, 마늘종지, 유리뚜껑, 그릴망, 온도조절기, 상품설명서"
독일 [기펠] MEGA 그릴MEGA,283,18-02,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//18-02.jpg,기펠,999,78000,71200,기펠,한국,101,0,1,100,,,"본체, 기름받이컵, 상품설명서"
[BSW]피자팬,283,18-03,http://bizmkt.interparkb2b.co.kr/data/goods/other/bizmkt//18-03.jpg,아이엔에스,999,26000,23400,아이엔에스,중국,101,0,1,100,,,"본체, 유리뚜껑, 상품설명서"
